DisplayName;ServiceName;StartType;ServiceType;Description
Serviço de Sincronização de Data/Hora do Hyper-V;vmictimesync;Disabled;Win32ShareProcess;"Sincroniza a hora do sistema desta máquina virtual com a hora do sistema do computador físico."
Serviço de solução de problemas recomendado;TroubleshootingSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Permite a atenuação automática de problemas conhecidos aplicando a solução de problemas recomendada. Se interrompido, seu dispositivo não obterá a solução de problemas recomendada."
Serviço de Suporte a Bluetooth;bthserv;Manual;Win32OwnProcess, Win32ShareProcess;"O serviço Bluetooth dá suporte à descoberta e à associação de dispositivos Bluetooth remotos. A interrupção ou a desabilitação desse serviço pode fazer com que os dispositivos Bluetooth instalados não funcionem corretamente ou impedir a descoberta e a associação de novos dispositivos."
Serviço de Suporte a Usuários de Bluetooth_1c1eca42;BluetoothUserService_1c1eca42;Disabled;240;"O serviço de usuário de Bluetooth dá suporte à funcionalidade adequada dos recursos Bluetooth relevantes para cada sessão de usuário."
Serviço de Teclado Virtual e Painel de Manuscrito;TabletInputService;Disabled;Win32ShareProcess;"Habilita a funcionalidade de caneta e tinta do Teclado Virtual e Painel de Manuscrito"
Serviço de Telefonia;PhoneSvc;Disabled;Win32ShareProcess;"Gerencia o estado de telefonia no dispositivo"
Serviço de transferência inteligente de tela de fundo;BITS;Automatic;Win32OwnProcess, Win32ShareProcess;"Transfere arquivos em segundo plano usando largura de banda de rede ociosa. Se o serviço estiver desabilitado, qualquer aplicativo que dependa do BITS, como o Windows Update ou o MSN Explorer, não poderá baixar programas e outras informações automaticamente."
Serviço de Troca de Dados do Hyper-V;vmickvpexchange;Disabled;Win32ShareProcess;"Fornece um mecanismo de troca de dados entre a máquina virtual e o sistema operacional em execução no computador físico."
Serviço de User Experience Virtualization;UevAgentService;Manual;Win32OwnProcess;"Fornece suporte para roaming de configurações do sistema operacional e aplicativos"
Serviço de Usuário da Plataforma de Dispositivos Conectados_1c1eca42;CDPUserSvc_1c1eca42;Automatic;240;"Este serviço de usuário é usado para cenários de Plataforma de Dispositivos Conectados"
Serviço de Usuário da Área de Transferência_1c1eca42;cbdhsvc_1c1eca42;Manual;240;"Este serviço de usuário é usado para cenários de área de transferência"
Serviço de Usuário de Notificações por Push do Windows_1c1eca42;WpnUserService_1c1eca42;Automatic;240;"Este serviço hospeda a plataforma de notificação do Windows que dá suporte a notificações locais e por push. Notificações com suporte são bloco, notificação do sistema e notificação bruta."
Serviço de Usuário do GameDVR e Transmissão_1c1eca42;BcastDVRUserService_1c1eca42;Disabled;224;"Este serviço de usuário é usado para Gravações de Jogos e Transmissões Ao Vivo"
Serviço de Virtualização de Área de Trabalho Remota do Hyper-V;vmicrdv;Disabled;Win32ShareProcess;"Apresenta uma plataforma para comunicação entre a máquina virtual e o sistema operacional em execução no computador físico."
Serviço Direto do Hyper-V PowerShell;vmicvmsession;Disabled;Win32ShareProcess;"Fornece um mecanismo para gerenciar máquinas virtuais com o PowerShell por meio de sessão VM sem uma rede virtual."
Serviço do Bonjour;Bonjour Service;Manual;Win32OwnProcess;"Permite que os dispositivos de hardware e os serviços de software se configurem automaticamente na rede e comuniquem a sua presença."
Serviço do Brave Update (brave);brave;Manual;Win32OwnProcess;"Mantém o seu software do Brave atualizado. Se este serviço for desativado ou interrompido, o seu software do Brave não será mantido atualizado, o que significa que vulnerabilidades que poderão surgir na segurança não serão reparadas e recursos poderão não funcionar. Este serviço é desinstalado automaticamente quando não está sendo usado por nenhum software do Brave."
Serviço do Brave Update (bravem);bravem;Manual;Win32OwnProcess;"Mantém o seu software do Brave atualizado. Se este serviço for desativado ou interrompido, o seu software do Brave não será mantido atualizado, o que significa que vulnerabilidades que poderão surgir na segurança não serão reparadas e recursos poderão não funcionar. Este serviço é desinstalado automaticamente quando não está sendo usado por nenhum software do Brave."
Serviço do Gerenciador de Acesso de Recurso;camsvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece recursos para o gerenciamento do acesso dos aplicativos UWP aos recursos de aplicativos, bem como a verificação de acesso do aplicativo aos recursos específicos dos aplicativos"
Serviço do Gerenciador de Conexões de Serviços do Wi-Fi Direct;WFDSConMgrSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Gerencia as conexões com serviços sem fio, incluindo vídeo sem fio e encaixe."
Serviço do Google Update (gupdate);gupdate;Manual;Win32OwnProcess;"Mantém o seu software do Google atualizado. Se este serviço for desativado ou interrompido, o seu software do Google não será mantido atualizado, o que significa que vulnerabilidades que poderão surgir na segurança não serão reparadas e recursos poderão não funcionar. Este serviço é desinstalado automaticamente quando não está sendo usado por nenhum software do Google."
Serviço do Google Update (gupdatem);gupdatem;Manual;Win32OwnProcess;"Mantém o seu software do Google atualizado. Se este serviço for desativado ou interrompido, o seu software do Google não será mantido atualizado, o que significa que vulnerabilidades que poderão surgir na segurança não serão reparadas e recursos poderão não funcionar. Este serviço é desinstalado automaticamente quando não está sendo usado por nenhum software do Google."
Serviço do Participante do Programa Windows Insider;wisvc;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte de infraestrutura para o Programa Windows Insider. Este serviço deve permanecer habilitado para o Programa Windows Insider funcionar."
Serviço do Sistema de Notificações por Push do Windows;WpnService;Disabled;Win32ShareProcess;"Este serviço é executado na sessão 0 e hospeda a plataforma de notificação e o provedor conexão que manipula a conexão entre o dispositivo e o servidor WNS."
Serviço Enumerador de Dispositivos Portáteis;WPDBusEnum;Manual;Win32OwnProcess, Win32ShareProcess;"Impõe a política de grupo a dispositivos de armazenamento em massa removíveis. Permite que aplicativos, como o Windows Media Player e o Assistente de Importação de Imagens, transfiram e sincronizem conteúdo usando dispositivos de armazenamento em massa removíveis."
Serviço Gateway de Camada de Aplicativo;ALG;Manual;Win32OwnProcess;"Fornece suporte para plug-ins de protocolo de terceiros para o Compartilhamento de Conexão com a Internet"
Serviço Iniciador Microsoft iSCSI;MSiSCSI;Disabled;Win32ShareProcess;"Gerencia as sessões de Internet SCSI (iSCSI) deste computador para dispositivos de destino iSCSI remotos. Se este serviço for interrompido, o computador não poderá fazer logon ou acessar destinos iSCSI. Se este serviço estiver desabilitado, qualquer serviço que dependa explicitamente dele falhará ao iniciar."
Serviço Proteção Avançada contra Ameaças do Windows Defender;Sense;Manual;Win32OwnProcess;"O serviço Proteção Avançada contra Ameaças do Windows Defender ajuda a proteger contra ameaças avançadas monitorando e relatando eventos de segurança que ocorrem no computador."
Serviço SSTP;SstpSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Oferece suporte ao SSTP para conectar-se a computadores remotos usando VPN. Se este serviço estiver desabilitado, os usuários não conseguirão usar o SSTP para acessar servidores remotos."
Serviço Windows Defender Antivirus;WinDefend;Automatic;Win32OwnProcess;"Ajudar a proteger os usuários contra malware e outros softwares potencialmente indesejados"
Serviço Windows PushToInstall;PushToInstall;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte de infraestrutura para a Microsoft Store. Este serviço é iniciado automaticamente e, se desabilitado, as instalações remotas não funcionarão corretamente."
Serviço Área de trabalho remota do Google Chrome;chromoting;Manual;Win32OwnProcess;"Este serviço permite conexões de entrada a partir de clientes da Área de trabalho remota do Google Chrome."
Serviços de criptografia;CryptSvc;Automatic;Win32OwnProcess, Win32ShareProcess;"Fornece três serviços de gerenciamento: Serviço de Banco de Dados de Catálogo, que confirma as assinaturas dos arquivos do Windows e permite que novos programas sejam instalados; Serviço de Raiz Protegida, que adiciona e remove Certificados de Autoridades de Certificação Raiz deste computador; e Serviço de Atualização Automática de Certificado Raiz, que recupera certificados raiz do Windows Update e habilita cenários como o SSL. Se este serviço for interrompido, os serviços de gerenciamento não funcionarão adequadamente. Se este serviço for desabilitado, todos os serviços que dele dependam diretamente deixarão de ser iniciados."
Serviços de Área de Trabalho Remota;TermService;Manual;Win32ShareProcess;"Permite que os usuários se conectem de forma interativa a um computador remoto. A Área de Trabalho Remota e o Servidor Host da Sessão da Área de Trabalho Remota dependem desse serviço. Para evitar a utilização remota desse computador, desmarque as caixas de seleção na guia Remoto do item Propriedades do sistema do painel de controle."
Shared PC Account Manager;shpamsvc;Manual;Win32ShareProcess;"Manages profiles and accounts on a SharedPC configured device"
SMP de Espaços de Armazenamento da Microsoft;smphost;Manual;Win32OwnProcess;"O serviço de host do provedor de gerenciamento de Espaços de Armazenamento da Microsoft. Se esse serviço é interrompido ou desabilitado, os Espaços de Armazenamento não podem ser gerenciados."
Solicitante de Cópia de Sombra de Volume do Hyper-V;vmicvss;Disabled;Win32ShareProcess;"Coordena as comunicações necessárias para usar o Serviço de Cópia de Sombra de Volume para fazer backup de aplicativos e dados desta máquina virtual por meio do sistema operacional no computador físico."
Spooler de Impressão;Spooler;Disabled;Win32OwnProcess, InteractiveProcess;"Este serviço processa trabalhos de impressão e faz a interação com a impressora. Se ele for interrompido, você não poderá mais imprimir ou ver suas impressoras."
SQL Server VSS Writer;SQLWriter;Automatic;Win32OwnProcess;"Provides the interface to backup/restore Microsoft SQL server through the Windows VSS infrastructure."
Steam Client Service;Steam Client Service;Manual;Win32OwnProcess;"Steam Client Service monitors and updates Steam content"
Suporte do Painel de Controle Relatórios de Problemas e Soluções;wercplsupport;Manual;Win32ShareProcess;"Este serviço oferece suporte para a exibição, o envio e a exclusão de relatórios de problemas relacionados ao sistema do painel de controle Relatórios de Problemas e Soluções."
SysMain;SysMain;Disabled;Win32ShareProcess;"Mantém e aprimora o desempenho do sistema com o passar do tempo."
System Guard Runtime Monitor Broker;SgrmBroker;Automatic;Win32OwnProcess;"Monitora e atesta a integridade da plataforma Windows."
TeamViewer 14;TeamViewer;Manual;Win32OwnProcess;"TeamViewer Remote Software"
Telefonia;TapiSrv;Manual;Win32OwnProcess, Win32ShareProcess;"Fornece suporte à API de Telefonia (TAPI) para programas que controlam dispositivos de telefonia no computador local e, via LAN, em servidores que também estiverem executando o serviço."
Temas;Themes;Automatic;Win32OwnProcess, Win32ShareProcess;"Fornece gerenciamento de temas para experiência do usuário."
Testador de instrumentação de gerenciam. do Windows;Winmgmt;Automatic;Win32OwnProcess, Win32ShareProcess;"Fornece uma interface comum e um modelo de objeto para o acesso a informações de gerenciamento sobre o sistema operacional, dispositivos, aplicativos e serviços. Se esse serviço for parado, a maioria dos itens de software baseados no Windows não funcionará corretamente. Se este serviço for desativado, os serviços que dependerem explicitamente dele não serão iniciados."
Uso de Dados;DusmSvc;Automatic;Win32OwnProcess;"Uso de dados da rede, limite de dados, restringir dados em segundo plano, redes limitadas."
Verificador de Ponto;svsvc;Manual;Win32ShareProcess;"Verifica possíveis corrupções do sistema de arquivos."
Visual Studio Standard Collector Service 150;VSStandardCollectorService150;Manual;Win32OwnProcess;"Visual Studio Data Collection Service. When running, this service collects real-time ETW events and processes them."
WalletService;WalletService;Disabled;Win32ShareProcess;"Objetos de hosts usados pelos clientes da carteira"
WarpJITSvc;WarpJITSvc;Manual;Win32OwnProcess;"Provides a JIT out of process service for WARP when running with ACG enabled."
Warsaw Technology;Warsaw Technology;Automatic;Win32OwnProcess;""
Waves Audio Services;WavesSysSvc;Automatic;Win32OwnProcess;"Waves Audio global services"
Windows Defender Firewall;mpssvc;Automatic;Win32ShareProcess;"O Windows Defender Firewall ajuda a proteger seu computador, impedindo que usuários não autorizados obtenham acesso ao seu computador ou pela Internet por uma rede."
Windows Installer;msiserver;Manual;Win32OwnProcess;"Adiciona, modifica e remove os aplicativos fornecidos como um pacote do Windows Installer (*.msi, *.msp). Se este serviço for desabilitado, todos os serviços que dependerem dele explicitamente não serão iniciados."
Windows Presentation Foundation Font Cache 3.0.0.0;FontCache3.0.0.0;Manual;Win32OwnProcess;"Otimiza o desempenho dos aplicativos do Windows Presentation Foundation (WPF) colocando em cache os dados de fontes usadas com freqüência. Os aplicativos do WPF iniciarão esse serviço caso ele ainda não esteja sendo executado. Ele pode ser desativado, ainda que isso diminuirá o desempenho dos aplicativos do WPF."
Windows Remote Management (WS-Management);WinRM;Disabled;Win32ShareProcess;"O serviço Windows Remote Management (WinRM) implementa o protocolo WS-Management para permitir gerenciamento remoto. O WS-Management é um protocolo de serviços Web padrão usado para gerenciamento de software e hardware remoto. O serviço WinRM escuta na rede as solicitações de WS-Management e as processa. O serviço WinRM precisa estar configurado com uma escuta que usa a ferramenta de linha de comando winrm.cmd ou por meio da Política de Grupo para escutar via rede. O serviço WinRM oferece acesso a dados WMI e habilita a coleta de eventos. A coleta e assinatura de eventos requerem que o serviço esteja em execução. As mensagens WinRM usam HTTP e HTTPS como transportes. O serviço WinRM não depende do IIS, mas é pré-configurado para compartilhar uma porta com o IIS no mesmo computador. O serviço WinRM reserva o prefixo de URL /wsman. Para evitar conflitos com o IIS, os administradores devem garantir que qualquer site hospedado no IIS não use o prefixo de URL /wsman."
Windows Search;WSearch;Manual;Win32OwnProcess;"Fornece indexação de conteúdo, cache de propriedade e resultados de pesquisa para arquivos, email e outros conteúdos."
Windows Update Medic Service;WaaSMedicSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Enables remediation and protection of Windows Update components."
Windows Update;wuauserv;Manual;Win32OwnProcess, Win32ShareProcess;"Ativa a detecção, download e instalação de atualizações do Windows e de outros programas. Se o serviço for desativado, os usuários do computador não poderão usar o Windows Update ou o recurso de atualização automática, e os programas não poderão usar a API do Windows Update Agent (WUA)."
Xbox Accessory Management Service;XboxGipSvc;Disabled;Win32ShareProcess;"This service manages connected Xbox Accessories."
XTUOCDriverService;XTU3SERVICE;Manual;Win32OwnProcess;"Intel(R) Overclocking Component Service"
Áudio do Windows;Audiosrv;Automatic;Win32OwnProcess;"Gerencia áudio para programas baseados no Windows. Se esse serviço for interrompido, os dispositivos e efeitos de áudio não funcionarão corretamente. Se for desabilitado, qualquer serviço que dependa dele explicitamente não poderá ser iniciado"
